iter	Passed	Remaining
0	1	169
1	3	153
2	4	144
3	5	130
4	6	131
5	8	133
6	10	134
7	11	132
8	12	130
9	14	127
10	15	126
11	16	123
12	18	121
13	19	119
14	20	118
15	22	119
16	24	118
17	25	115
18	26	114
19	28	113
20	29	111
21	30	108
22	31	106
23	33	105
24	34	104
25	36	102
26	38	103
27	39	102
28	41	100
29	42	99
30	44	98
31	45	96
32	46	94
33	47	93
34	49	91
35	50	90
36	52	89
37	54	88
38	55	86
39	56	85
40	58	84
41	59	81
42	60	80
43	61	78
44	63	77
45	65	76
46	67	76
47	69	75
48	70	73
49	72	72
50	73	70
51	75	69
52	76	68
53	78	66
54	79	64
55	80	63
56	83	63
57	85	61
58	86	60
59	88	59
60	90	57
61	91	56
62	92	54
63	94	53
64	97	52
65	99	51
66	101	50
67	103	48
68	104	46
69	105	45
70	107	43
71	108	42
72	109	40
73	111	39
74	113	37
75	115	36
76	116	34
77	117	33
78	119	31
79	120	30
80	122	28
81	123	27
82	125	25
83	128	24
84	129	22
85	131	21
86	132	19
87	133	18
88	135	16
89	136	15
90	138	13
91	139	12
92	140	10
93	142	9
94	143	7
95	145	6
96	146	4
97	147	3
98	149	1
99	150	0
